Source,Target
234,16
234,18
234,21
234,24
234,25
234,28
234,31
234,32
234,216
234,34
234,40
234,160
234,47
234,78
234,250
234,49
234,257
234,68
234,69
234,74
234,75
234,76
234,159
234,80
234,82
234,83
234,84
234,86
234,88
234,92
234,96
234,98
234,102
234,105
234,106
234,112
234,117
234,120
234,122
234,65
234,124
234,125
234,126
234,127
234,128
234,131
234,129
234,130
234,137
234,138
234,142
234,143
234,144
234,60
234,146
234,152
234,165
234,169
234,171
234,175
234,177
234,73
234,186
234,188
234,193
234,194
234,198
234,200
234,206
234,208
234,209
234,210
234,211
234,214
234,215
234,221
234,222
234,232
234,29
234,236
234,110
234,55
234,246
234,254
234,258
234,263
234,224
234,103
234,54
234,62
234,145
234,72
234,163
234,79
234,61
234,89
234,100
234,17
234,155
234,44
234,77
234,230
234,64
234,0
234,132
234,225
234,6
234,37
234,149
234,39
16,18
16,24
16,25
16,31
16,32
16,160
16,78
16,250
16,49
16,67
16,68
16,69
16,71
16,75
16,82
16,84
16,86
16,87
16,88
16,92
16,96
16,102
16,105
16,106
16,112
16,120
16,124
16,125
16,126
16,127
16,128
16,129
16,130
16,137
16,138
16,142
16,143
16,144
16,60
16,152
16,165
16,167
16,171
16,177
16,178
16,184
16,186
16,187
16,188
16,192
16,193
16,194
16,198
16,209
16,211
16,215
16,221
16,232
16,29
16,236
16,110
16,55
16,180
16,263
16,224
16,103
16,62
16,145
16,72
16,79
16,61
16,89
16,100
16,17
16,155
16,44
16,59
16,77
16,228
16,64
16,0
16,132
16,225
16,6
16,37
18,21
18,24
18,25
18,28
18,31
18,32
18,216
18,34
18,40
18,160
18,47
18,78
18,250
18,49
18,257
18,68
18,69
18,74
18,75
18,76
18,159
18,80
18,82
18,83
18,84
18,86
18,88
18,92
18,96
18,98
18,102
18,105
18,106
18,112
18,117
18,120
18,122
18,65
18,124
18,125
18,126
18,127
18,128
18,131
18,129
18,130
18,137
18,138
18,142
18,143
18,144
18,60
18,146
18,152
